Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Flowers,Amaranthaceae,Amaranthus,Amaranthus,Green Tails | AMA-GRETL,Greenhouse Sow,,03/28/2020,,,,,,,,04/24/2020,47,17,06/10/2020,06/27/2020,10 bed ft.,"Goat Field,GH,Block GRN,Beds 2",12.0,in,4,0.58,72 cell flats,2,5,42,84,48000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,3.000 st/pl,$15.00/bn,120.0 Stems,$180.00,$4.50/plant,Annual,,,,,foliage,,,,
Flowers,Amaranthaceae,Amaranthus,Amaranthus,Green Tails | AMA-GRETL,Greenhouse Sow,,04/25/2020,,,,,,,,05/23/2020,47,17,07/09/2020,07/26/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",12.0,in,4,0.14,72 cell flats,2,5,42,20,48000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,3.000 st/pl,$15.00/bn,120.0 Stems,$180.00,$4.50/plant,Annual,,,,,foliage,,,,
Flowers,Amaranthaceae,Amaranthus,Amaranthus,Hot Biscuits | AMA-HOTBC,Greenhouse Sow,,04/25/2020,,,,,,,,05/23/2020,47,17,07/09/2020,07/26/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",12.0,in,4,0.14,72 cell flats,2,5,42,20,48000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,3.000 st/pl,$15.00/bn,120.0 Stems,$180.00,$4.50/plant,Annual,,,,,foliage,,,,
Flowers,Amaranthaceae,Amaranthus,Amaranthus,Hot Biscuits | AMA-HOTBC,Greenhouse Sow,,05/25/2020,,,,,,,,06/22/2020,47,17,08/08/2020,08/25/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",12.0,in,4,0.58,72 cell flats,2,5,42,84,48000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,3.000 st/pl,$15.00/bn,120.0 Stems,$180.00,$4.50/plant,Annual,,,,,foliage,,,,
Flowers,Apiaceae,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Chocolate Lace | AMM-CHOCL,Greenhouse Sow,,03/09/2020,,,,,,,,04/26/2020,51,42,06/16/2020,07/28/2020,10 bed ft.,"Goat Field,GH,Block GRN,Beds 2",12.0,in,4,0.58,72 cell flats,2,5,42,84,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,80.0 Stems,$64.00,$1.60/plant,Annual,,,,,,,,,
Flowers,Apiaceae,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Green Mist | AMM-GRENM,Greenhouse Sow,,03/09/2020,,,,,,,,04/22/2020,51,42,06/12/2020,07/24/2020,80 plants,"The Back Field,MCB,Block GRN,Beds 8",9.0,in,5,0.58,72 cell flats,2,5,84,84,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,160.0 Stems,$128.00,$2.13/plant,Annual,,,,,filler%br%filler,,,,
Flowers,Apiaceae,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Green Mist | AMM-GRENM,Greenhouse Sow,,03/28/2020,,,,,,,,05/11/2020,51,42,07/01/2020,08/12/2020,10 bed ft.,"Goat Field,GH",12.0,in,4,1.17,72 cell flats,2,5,84,168,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,80.0 Stems,$64.00,$1.60/plant,Annual,,,,,filler%br%filler%br%filler,,,,
Flowers,Apiaceae,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Chocolate Lace | AMM-CHOCL,Greenhouse Sow,,03/28/2020,,,,,,,,05/11/2020,51,42,07/01/2020,08/12/2020,8 plants,"The Back Field,Breakfast Club,Block GRN,Beds 2",12.0,in,4,1.17,72 cell flats,2,5,84,168,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,2.000 st/pl,$8.00/bn,16.0 Stems,$12.80,$1.60/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,Blue White Mix | ANE-BLUWM,Direct Sow,,,,,,,,,,04/21/2020,56,42,06/16/2020,07/28/2020,4.5 bed ft.,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.0,,,,,30,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$12.00/bn,600.0 Stems,$720.00,$32.00/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,Lord Lieutenant | ANE-LORLT,Direct Sow,,,,,,,,,,04/21/2020,56,42,06/16/2020,07/28/2020,2 bed ft.,,9.0,in,5,0.0,,,,,13,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$12.00/bn,266.7 Stems,$320.00,$32.00/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,White | ANE-WHITE,Direct Sow,,,,,,,,,,04/21/2020,56,42,06/16/2020,07/28/2020,4.5 bed ft.,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.0,,,,,30,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$12.00/bn,600.0 Stems,$720.00,$32.00/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,Mix Super Bag | ANE-MIXSB,Direct Sow,,,,,,,,,,04/21/2020,56,42,06/16/2020,07/28/2020,8 bed ft.,,9.0,in,5,0.0,,,,,53,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$12.00/bn,"1,066.7 Stems","$1,280.00",$32.00/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,Saint Brigid | ANE-SAIBR,Direct Sow,,,,,,,,,,04/21/2020,56,42,06/16/2020,07/28/2020,2 bed ft.,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.0,,,,,13,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$0.00/st,266.7 Stems,$0.00,$0.00/plant,Annual,,,,,,,,,
