Sow Date,Category,Crop,Crop Type,Variety,Days In Greenhouse,Transplant Date,# Of Flats,Flat Type,Seeds Per Cell,Number Of Transplants,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Estimated loss,Total Seeds needed,Average seed weight,Average seed weight unit,Total weight needed,Total seed weight needed unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Microgreens/Plant sale
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Cherry Brandy,78,05/03/2020,0.5,72 cell flats,1,35.3,,,,,,,6,36,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Chim Chiminee Mix,78,05/03/2020,0.5,72 cell flats,1,35.0,,,,,,,5,36,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Denver Daisy Film-Coated,78,05/03/2020,0.5,72 cell flats,1,35.0,,,,,,,5,36,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Prairie Sun,78,05/03/2020,0.5,72 cell flats,1,35.0,,,,,,,5,36,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Sahara,78,05/03/2020,1.0,72 cell flats,1,70.0,,,,,,,5,72,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Macau,68,04/23/2020,0.6,72 cell flats,1,42.0,,,,,,,5,43,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/17/2020,Flowers,Talinum (fame flower),Talinum (fame flower),Jewels of Opar,66,04/23/2020,1.75,72 cell flats,2,126.0,,,,,,,5,252,0,,0.00,,0.00,,,,,,,,,,,
02/17/2020,Flowers,Eucalyptus,Eucalyptus,Silver Dollar,70,04/27/2020,0.58,72 cell flats,2,42.0,,,,,,,5,84,44000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/18/2020,Flowers,Eucalyptus,Eucalyptus,Parviflora,70,04/28/2020,0.58,72 cell flats,2,42.0,,,,,,,5,84,44000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/26/2020,Flowers,Dusty Miller,Dusty Miller,New Look,70,05/06/2020,1.94,72 cell flats,2,140.0,,,,,,,5,279,0,,0.00,,0.00,,,,,,,,,,,
